engine,engine_label,n,dimensions,cache_mb,clusters,noise,batch,accuracy,hnsw_m,hnsw_ef_add,hnsw_ef,inserts_per_s,updates_per_s,mixed_per_s,mem_mb,warm_mem_mb,disk_mb,save_ms,run_seconds,error
ivs,IVSVectorIndex,500000,1536,2000,200,1,5000,0.25,16,128,64,25251.339,1289740.117,29.457,26.395,2019.269,2937.329,48.356,239.806,
hnsw,HnswVectorIndex,500000,1536,2000,200,1,5000,0.25,16,128,64,11275.15,1221.076,1089.755,935.876,936.772,3797.877,323.177,72.366,
memory,MemorySemanticIndex,1000000,1536,10,200,1,5000,0.25,16,128,64,83370.347,1326347.901,19.238,5919.548,5925.547,5870.819,9783.761,397.566,
ivs,IVSVectorIndex,1000000,1536,10,200,1,5000,0.25,16,128,64,15293.395,1319348.242,5.589,53.528,62.821,5874.664,40.073,1179.647,
hnsw,HnswVectorIndex,1000000,1536,10,200,1,5000,0.25,16,128,64,51.261,42.27,54.638,76.422,80.953,7595.802,274.625,19798.847,
memory,MemorySemanticIndex,1000000,1536,100,200,1,5000,0.25,16,128,64,74071.145,1332533.813,17.895,5919.534,5925.535,5870.819,11186.268,417.526,
ivs,IVSVectorIndex,1000000,1536,100,200,1,5000,0.25,16,128,64,13246.351,891225.881,5.461,53.527,147.354,5874.664,42.579,1219.412,
hnsw,HnswVectorIndex,1000000,1536,100,200,1,5000,0.25,16,128,64,9161.935,1124.711,966.137,1810.741,1812.557,7595.802,248.476,149.675,
memory,MemorySemanticIndex,1000000,1536,500,200,1,5000,0.25,16,128,64,77965.574,881212.548,18.731,5919.545,5925.54,5870.819,10482.804,410.14,
ivs,IVSVectorIndex,1000000,1536,500,200,1,5000,0.25,16,128,64,14936.669,899725.584,5.898,53.525,551.733,5874.664,59.424,1141.792,
hnsw,HnswVectorIndex,1000000,1536,500,200,1,5000,0.25,16,128,64,9441.569,1123.078,985.253,1829.087,1830.906,7595.802,256.317,147.884,
memory,MemorySemanticIndex,1000000,1536,2000,200,1,5000,0.25,16,128,64,80342.297,871535.646,18.714,5919.545,5925.538,5870.819,10245.778,412.664,
ivs,IVSVectorIndex,1000000,1536,2000,200,1,5000,0.25,16,128,64,15155.662,982173.55,7.754,53.525,2031.203,5874.664,39.493,892.174,
hnsw,HnswVectorIndex,1000000,1536,2000,200,1,5000,0.25,16,128,64,9373.001,1115.498,941.98,1829.098,1830.917,7595.802,265.611,148.137,
